165.00 | 90.27
102.20 | 122.45
18.56 | 20.41
222.40 | 11.06
561.53 | 35.83
375.88 | 133.07
90.89 | 296.52
247.15 | 68.68
446.72 | 209.14
491.33 | 325.48
28.19 | 653.86
125.62 | 507.34
576.11 | 271.49
507.71 | 846.07
291.56 | 85.18
513.40 | 160.62
77.50 | 711.32
366.56 | 325.88
0.17 | 246.30
235.16 | 10.34
661.74 | 1.49
486.12 | 40.47
424.70 | 50.36
61.02 | 4.74
823.60 | 705.65
23.20 | 274.09
331.99 | 196.97
56.10 | 63.59
84.84 | 551.95
137.68 | 100.69
363.39 | 558.80
80.63 | 755.07
83.76 | 640.05
134.10 | 665.22
135.08 | 74.47
361.85 | 559.53
215.37 | 360.18
103.14 | 303.91
315.21 | 208.85
10.71 | 84.88
249.08 | 174.99
213.59 | 232.48
269.21 | 191.78
832.47 | 500.55
5.42 | 78.35
389.90 | 196.73
696.66 | 24.12
347.92 | 176.51
321.96 | 765.61
742.94 | 159.55
138.66 | 58.92
111.28 | 7.36
550.75 | 287.87
157.22 | 69.89
571.86 | 193.19
184.18 | 480.87
88.08 | 854.66
164.67 | 183.05
58.35 | 454.36
76.44 | 352.04
534.53 | 361.08
79.73 | 124.16
458.13 | 67
